GEOCOD;MUN;Casos;Obitos;acima de 60 anos
56;Almerinda;2;0;1585
88;Amendoeira;3;1;1611
61;Anaia Grande;0;0;138
33;Anaia Pequeno;0;0;543
6;Antonina;1;0;1076
74;Arrastão;0;0;458
34;Arsenal;0;0;1192
38;Barracão;0;0;371
36;Barro Vermelho;7;0;2102
5;Boa Vista;4;0;1958
83;Boaçu;3;0;3338
47;Bom Retiro;1;0;1832
22;Brasilândia;5;0;1176
7;Camarão;1;0;664
82;Centro;3;0;938
67;Coelho;5;1;2364
40;Colubandê;7;1;3457
18;Covanca;1;0;2012
4;Cruzeiro do Sul;0;0;626
21;Eliane;0;0;401
14;Engenho do Roçado;0;0;656
50;Engenho Pequeno;0;0;1633
26;Estrela do Norte;1;0;1278
80;Fazenda dos Mineiros;1;0;515
19;Galo Branco;6;0;1742
64;Gebara;0;0;82
92;Gradim;1;0;2079
62;Guarani;0;0;191
57;Guaxindiba;0;0;374
76;Ieda;0;0;438
46;Ipiíba;2;0;141
30;Itaoca;0;0;383
71;Itaúna;5;0;2061
68;Jardim Alcântra;5;0;1849
32;Jardim Amendoeira;0;0;104
27;Jardim Catarina;3;0;7892
15;Jardim Nova República;0;0;681
16;Jockey;2;0;952
45;Lagoinha;0;0;934
69;Laranjal;0;0;2311
17;Largo da Ideia;0;0;267
35;Lindo Parque;1;0;1023
3;Luiz Caçador;1;0;611
73;Mangueira;0;0;630
63;Marambaia;0;0;1966
11;Maria Paula;1;0;1602
87;Miriambi;0;0;888
70;Monjolos;0;0;829
9;Morro do Castro;0;0;558
54;Mutondo;6;0;3309
25;Mutuá;3;0;2237
78;Mutuaguaçu;0;0;786
52;Mutuapira;2;0;1032
37;Neves;4;1;1829
28;Nova Cidade;4;0;1651
86;Novo México;1;0;478
60;Pacheco;1;0;1554
58;Palmeiras;0;0;764
10;Parada Quarenta;0;0;411
81;Paraiso;1;0;1117
85;Patronato;0;0;556
12;Pedro Alcântara;0;0;1849
20;Pita;4;0;1990
41;Porto da Madama;2;0;1213
1;Porto da Pedra;2;0;2126
29;Porto da Rosa;3;0;2381
2;Porto Novo;9;1;2226
91;Porto Velho;7;0;1666
55;Raul Veiga;0;0;1519
72;Recanto das Acácias;0;0;355
39;Rio do Ouro;1;0;1252
51;Rocha;7;0;3438
23;Rosane;0;0;266
43;Sacramento;1;0;1357
79;Salgueiro;1;0;999
49;Santa Catarina;2;0;2210
89;Santa Isabel;3;2;1463
44;Santa Luzia;2;0;1699
24;São Miguel;0;0;647
42;Tenente Jardim;0;0;428
90;Tiradentes;0;0;317
75;Tribobó;3;0;2047
53;Trindade;6;1;4450
13;Várzea das Moças;0;0;336
8;Venda da Cruz;0;0;1109
59;Vila Candosa;0;0;147
48;Vila Lage;0;0;1163
31;Vila Três;0;0;525
84;Vila Yara;0;0;490
65;Vista Alegre;2;0;2079
66;Zé Garoto;4;0;836
77;Zumbi;0;0;481
