Mes,S1,S2,C1,C2
20/04,Confirmados,Obitos,248,20
20/05,Confirmados,Obitos,1467,190
20/06,Confirmados,Obitos,3704,390
20/07,Confirmados,Obitos,8202,579
20/08,Confirmados,Obitos,12023,645
20/09,Confirmados,Obitos,15678,687
20/10,Confirmados,Obitos,18903,719
20/11,Confirmados,Obitos,23192,759
20/12,Confirmados,Obitos,32540,991
21/01,Confirmados,Obitos,42317,1239
21/02,Confirmados,Obitos,56137,1426
21/03,Confirmados,Obitos,64290,1591
21/04,Confirmados,Obitos,70910,1952
21/05,Confirmados,Obitos,77215,2298
